ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
Decision Tree,0.9210526315789473,0.9163359788359788,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.8341403959394523
K-Nearest Neighbors,0.956140350877193,0.9788359788359788,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9054466190452621
Naive Bayes,0.9298245614035088,0.9867724867724867,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8492063492063492
Random Forest,0.9385964912280702,0.9940476190476191,0.9577464788732394,0.9444444444444444,0.951048951048951,0.868859654660177
